"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "Properties", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\QUICK_START.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 93
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\README.md", "Markdown", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 232
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\SMART_SYSTEM_README.md", "Markdown", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 200
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\SMART_TRANSLATION_SYSTEM.md", "Markdown", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 271
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\.env", "Properties", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\adminManager.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 79
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\createAdmin.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 47
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\front-end\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\front-end\src\pages\admin\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\front-end\src\pages\admin\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\nodemon.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\package-lock.json", "JSON", 0, 0, 2424, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2425
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\resetAdminPassword.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\scripts\analyzeRealLiquids.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 27, 217
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\scripts\clearLiquids.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 71
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\scripts\findAdmin.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\scripts\realLiquidsAnalysis.json", "JSON", 0, 0, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 854
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\scripts\seedData.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 172
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\scripts\seedLiquids.js", "JavaScript", 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 22, 548
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\scripts\seedRealLiquids.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 234
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\app.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 6, 10, 87
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\admin.controller.ts", "TypeScript", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 11, 26, 276
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 1, 20, 139
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\liquid.controller.ts", "TypeScript", 0, 0, 0, 0, 468, 0, 0, 0, 0, 0, 49, 86, 603
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\mix.controller.ts", "TypeScript", 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 57, 100, 626
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\order.controller.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 4, 13, 82
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\product.controller.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 4, 5, 90
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\rating.controller.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 8, 53
